time /s	 Tra 3	Err 3	 Tra 1	Err 1	 Tra 2	Err 2	 Tra 4	Err 4
0.184	0.818	0.003	105.088	1.182	91.194	1.314	0.000	0.000
0.186	0.818	0.003	105.142	1.188	91.361	1.339	0.000	0.000
0.188	0.818	0.003	105.213	1.212	91.527	1.362	0.000	0.000
0.190	0.818	0.003	105.313	1.253	91.699	1.373	0.000	0.000
0.193	0.818	0.003	105.424	1.300	91.868	1.390	0.000	0.000
0.195	0.818	0.003	105.593	1.358	92.028	1.410	0.000	0.000
0.197	0.818	0.003	105.770	1.428	92.188	1.431	0.000	0.000
0.199	0.818	0.003	105.959	1.507	92.351	1.455	0.000	0.000
0.201	0.818	0.003	106.168	1.595	92.516	1.478	0.000	0.000
0.203	0.818	0.003	106.377	1.660	92.685	1.503	0.000	0.000
0.205	0.818	0.003	106.614	1.690	92.856	1.528	0.000	0.000
0.207	0.818	0.003	106.853	1.724	93.027	1.554	0.000	0.000
0.209	0.818	0.003	107.078	1.740	93.202	1.585	0.000	0.000
0.212	0.818	0.003	107.320	1.746	93.371	1.613	0.000	0.000
0.214	0.818	0.003	107.544	1.750	93.534	1.629	0.000	0.000
0.216	0.818	0.003	107.747	1.734	93.704	1.640	0.000	0.000
0.218	0.818	0.003	107.942	1.710	93.872	1.650	0.000	0.000
0.220	0.818	0.003	108.123	1.670	94.038	1.659	0.000	0.000
0.222	0.818	0.003	108.294	1.624	94.203	1.675	0.000	0.000
0.224	0.818	0.003	108.449	1.599	94.363	1.698	0.000	0.000
0.226	0.818	0.003	108.595	1.591	94.514	1.724	0.000	0.000
0.229	0.818	0.003	108.749	1.598	94.659	1.745	0.000	0.000
0.231	0.818	0.003	108.893	1.618	94.806	1.764	0.000	0.000
0.233	0.818	0.003	109.032	1.653	94.956	1.787	0.000	0.000
0.235	0.818	0.003	109.166	1.687	95.103	1.809	0.000	0.000
0.237	0.818	0.003	109.297	1.729	95.257	1.840	0.000	0.000
0.239	0.818	0.003	109.439	1.785	95.418	1.881	0.000	0.000
0.241	0.818	0.003	109.585	1.837	95.586	1.927	0.000	0.000
0.243	0.818	0.003	109.745	1.883	95.765	1.969	0.000	0.000
0.245	0.818	0.003	109.938	1.918	95.962	2.010	0.000	0.000
0.248	0.818	0.003	110.132	1.943	96.175	2.067	0.000	0.000
0.250	0.818	0.003	110.332	1.967	96.401	2.136	0.000	0.000
0.252	0.818	0.003	110.558	1.999	96.634	2.212	0.000	0.000
0.254	0.818	0.003	110.781	2.029	96.874	2.290	0.000	0.000
0.256	0.818	0.003	111.015	2.063	97.118	2.355	0.000	0.000
0.258	0.818	0.003	111.260	2.115	97.363	2.419	0.000	0.000
0.260	0.818	0.003	111.497	2.160	97.613	2.475	0.000	0.000
0.262	0.818	0.003	111.724	2.196	97.865	2.521	0.000	0.000
0.264	0.818	0.003	111.947	2.227	98.124	2.559	0.000	0.000
0.267	0.818	0.003	112.164	2.240	98.397	2.581	0.000	0.000
0.269	0.818	0.003	112.360	2.230	98.670	2.604	0.000	0.000
0.271	0.818	0.003	112.556	2.226	98.940	2.624	0.000	0.000
0.273	0.818	0.003	112.758	2.222	99.212	2.645	0.000	0.000
0.275	0.818	0.003	112.953	2.231	99.481	2.653	0.000	0.000
0.277	0.818	0.003	113.135	2.250	99.741	2.650	0.000	0.000
0.279	0.818	0.003	113.319	2.271	99.990	2.635	0.000	0.000
0.281	0.818	0.003	113.505	2.294	100.235	2.616	0.000	0.000
0.284	0.818	0.003	113.689	2.317	100.474	2.605	0.000	0.000
0.286	0.818	0.003	113.883	2.333	100.694	2.609	0.000	0.000
0.288	0.818	0.003	114.086	2.346	100.895	2.611	0.000	0.000
0.290	0.818	0.003	114.282	2.353	101.087	2.612	0.000	0.000
0.292	0.818	0.003	114.475	2.361	101.273	2.613	0.000	0.000
0.294	0.818	0.003	114.655	2.364	101.458	2.618	0.000	0.000
0.296	0.818	0.003	114.824	2.365	101.623	2.631	0.000	0.000
0.298	0.818	0.003	114.987	2.364	101.787	2.650	0.000	0.000
0.300	0.818	0.003	115.140	2.364	101.944	2.670	0.000	0.000
0.303	0.818	0.003	115.282	2.369	102.095	2.690	0.000	0.000
0.305	0.818	0.003	115.427	2.376	102.240	2.715	0.000	0.000
0.307	0.818	0.003	115.541	2.400	102.389	2.742	0.000	0.000
0.309	0.818	0.003	115.657	2.429	102.533	2.764	0.000	0.000
0.311	0.818	0.003	115.777	2.460	102.676	2.785	0.000	0.000
0.313	0.818	0.003	115.901	2.484	102.815	2.803	0.000	0.000
0.315	0.818	0.003	116.025	2.516	102.951	2.826	0.000	0.000
0.317	0.818	0.003	116.156	2.524	103.080	2.844	0.000	0.000
0.320	0.818	0.003	116.286	2.529	103.209	2.859	0.000	0.000
0.322	0.818	0.003	116.421	2.524	103.341	2.871	0.000	0.000
0.324	0.818	0.003	116.545	2.518	103.468	2.880	0.000	0.000
0.326	0.818	0.003	116.666	2.504	103.593	2.887	0.000	0.000
0.328	0.818	0.003	116.765	2.469	103.701	2.878	0.000	0.000
0.330	0.818	0.003	116.858	2.429	103.800	2.865	0.000	0.000
0.332	0.818	0.003	116.947	2.396	103.883	2.841	0.000	0.000
0.334	0.818	0.003	117.027	2.377	103.958	2.827	0.000	0.000
0.336	0.818	0.003	117.073	2.371	104.003	2.809	0.000	0.000
0.339	0.818	0.003	117.089	2.363	104.018	2.775	0.000	0.000
0.341	0.818	0.003	117.084	2.351	104.024	2.741	0.000	0.000
0.343	0.818	0.003	117.074	2.342	104.029	2.709	0.000	0.000
0.345	0.818	0.003	117.064	2.339	104.034	2.680	0.000	0.000
0.347	0.818	0.003	116.975	2.356	103.964	2.668	0.000	0.000
0.349	0.818	0.003	116.862	2.375	103.874	2.660	0.000	0.000
0.351	0.818	0.003	116.719	2.372	103.765	2.641	0.000	0.000
0.353	0.818	0.003	116.568	2.393	103.645	2.648	0.000	0.000
0.355	0.818	0.003	116.397	2.435	103.506	2.673	0.000	0.000
0.358	0.818	0.003	116.060	2.537	103.224	2.744	0.000	0.000
0.360	0.818	0.003	115.690	2.629	102.909	2.800	0.000	0.000
0.362	0.818	0.003	115.300	2.725	102.572	2.854	0.000	0.000
0.364	0.818	0.003	114.882	2.890	102.216	2.957	0.000	0.000
0.366	0.818	0.003	114.395	3.098	101.792	3.095	0.000	0.000
0.368	0.819	0.003	113.752	3.356	101.230	3.289	0.000	0.000
0.370	0.819	0.003	113.044	3.572	100.603	3.443	0.000	0.000
0.372	0.819	0.003	112.325	3.803	99.966	3.614	0.000	0.000
0.375	0.819	0.003	111.594	4.067	99.309	3.830	0.000	0.000
0.377	0.819	0.003	110.810	4.243	98.556	4.049	0.000	0.000
0.379	0.819	0.003	109.884	4.382	97.664	4.261	0.000	0.000
0.381	0.819	0.003	108.890	4.477	96.717	4.438	0.000	0.000
0.383	0.819	0.003	107.907	4.562	95.769	4.624	0.000	0.000
0.385	0.819	0.003	106.995	4.565	94.845	4.778	0.000	0.000
0.387	0.819	0.003	106.227	4.352	93.919	4.802	0.000	0.000
0.389	0.819	0.003	105.473	4.136	92.921	4.795	0.000	0.000
0.391	0.819	0.003	104.710	3.978	91.902	4.787	0.000	0.000
0.394	0.819	0.003	104.000	3.796	90.913	4.740	0.000	0.000
0.396	0.819	0.003	103.374	3.677	90.003	4.629	0.000	0.000
0.398	0.819	0.003	103.131	3.459	89.271	4.377	0.000	0.000
0.400	0.819	0.003	103.104	3.288	88.604	4.152	0.000	0.000
0.402	0.819	0.003	103.111	3.220	87.948	3.967	0.000	0.000
0.404	0.819	0.003	103.105	3.239	87.316	3.778	0.000	0.000
0.406	0.819	0.003	103.117	3.290	86.756	3.669	0.000	0.000
0.408	0.819	0.003	103.374	3.152	86.427	3.493	0.000	0.000
0.411	0.819	0.003	103.869	2.832	86.260	3.292	0.000	0.000
0.413	0.819	0.003	104.360	2.566	86.094	3.111	0.000	0.000
0.415	0.819	0.003	104.815	2.366	85.912	2.953	0.000	0.000
0.417	0.819	0.003	105.216	2.171	85.755	2.837	0.000	0.000
0.419	0.819	0.003	105.532	2.046	85.667	2.745	0.000	0.000
0.421	0.819	0.003	105.798	1.975	85.626	2.628	0.000	0.000
0.423	0.819	0.003	106.073	1.943	85.581	2.530	0.000	0.000
0.425	0.819	0.003	106.362	1.959	85.520	2.444	0.000	0.000
0.427	0.819	0.003	106.632	1.942	85.439	2.386	0.000	0.000
0.430	0.819	0.003	106.821	1.898	85.332	2.360	0.000	0.000
0.432	0.819	0.003	106.945	1.901	85.205	2.341	0.000	0.000
0.434	0.819	0.003	107.062	1.900	85.074	2.333	0.000	0.000
0.436	0.819	0.003	107.187	1.928	84.928	2.312	0.000	0.000
0.438	0.819	0.003	107.345	1.950	84.766	2.290	0.000	0.000
0.440	0.819	0.003	107.558	1.944	84.583	2.281	0.000	0.000
0.442	0.819	0.003	107.783	1.917	84.388	2.282	0.000	0.000
0.444	0.819	0.003	107.968	1.857	84.194	2.271	0.000	0.000
0.446	0.819	0.003	108.133	1.778	83.997	2.253	0.000	0.000
0.449	0.819	0.003	108.257	1.729	83.798	2.218	0.000	0.000
0.451	0.818	0.002	108.392	1.681	83.600	2.186	0.000	0.000
0.453	0.818	0.002	108.526	1.631	83.399	2.157	0.000	0.000
0.455	0.818	0.002	108.625	1.576	83.197	2.132	0.000	0.000
0.457	0.818	0.002	108.691	1.530	82.991	2.107	0.000	0.000
0.459	0.818	0.002	108.676	1.499	82.782	2.073	0.000	0.000
0.461	0.818	0.003	108.611	1.500	82.583	2.030	0.000	0.000
0.463	0.818	0.003	108.532	1.518	82.390	1.980	0.000	0.000
0.466	0.818	0.003	108.436	1.518	82.196	1.935	0.000	0.000
0.468	0.818	0.003	108.321	1.508	81.997	1.895	0.000	0.000
0.470	0.818	0.003	108.181	1.489	81.780	1.862	0.000	0.000
0.472	0.818	0.003	108.026	1.484	81.561	1.836	0.000	0.000
0.474	0.818	0.003	107.868	1.493	81.345	1.815	0.000	0.000
