Position on the Arterial Tree,Frequency(Rad/s),QTA(m^3/s),PI
249,7.853981634,7.97771625E-006,4.5664697588
250,7.853981634,7.9486615E-006,4.3252565227
251,7.853981634,1.91011625E-006,4.4698850135
252,7.853981634,1.90785E-006,4.2975076657
253,7.853981634,0.000001905,4.1669045262
254,7.853981634,1.9009424375E-006,4.0258978121
255,7.853981634,1.89823875E-006,3.8746443249
256,7.853981634,0.000004834,5.1944035525
257,7.853981634,4.778725E-006,4.7627766821
258,7.853981634,4.72724875E-006,4.207521341
259,7.853981634,4.6846375E-006,3.6075363355
260,7.853981634,4.64275E-006,3.0391470572
261,7.853981634,3.116075E-006,3.0365122791
262,7.853981634,3.107375E-006,2.7997908202
263,7.853981634,3.099625E-006,2.5874097673
264,7.853981634,3.09125E-006,2.3712090578
265,7.853981634,3.082875E-006,2.1603211288
266,7.853981634,2.6356125E-006,3.3616474349
267,7.853981634,2.619575E-006,3.0886689635
268,7.853981634,2.603625E-006,2.7461712036
269,7.853981634,0.000002587,2.2458446077
270,7.853981634,2.56825E-006,1.8339336124
271,7.853981634,2.0091875E-006,2.6443525057
272,7.853981634,1.998875E-006,2.4263648302
273,7.853981634,0.000001988,2.1378269618
274,7.853981634,1.976875E-006,1.7552956054
275,7.853981634,0.000001964,1.4714867617
276,7.853981634,2.4355E-006,1.6546910285
277,7.853981634,2.4345E-006,1.5608954611
278,7.853981634,2.43275E-006,1.4715856541
279,7.853981634,2.431125E-006,1.3779628773
280,7.853981634,2.429125E-006,1.2885298204
281,7.853981634,4.729375E-007,0.7696577243
282,7.853981634,0.000000473,0.7527222751
283,7.853981634,4.727875E-007,0.7381751844
284,7.853981634,4.7275E-007,0.7234267583
285,7.853981634,4.72725E-007,0.7128880427
286,7.853981634,4.729375E-007,0.7696577243
287,7.853981634,0.000000473,0.7527222751
288,7.853981634,4.727875E-007,0.7381751844
289,7.853981634,4.7275E-007,0.7234267583
290,7.853981634,4.72725E-007,0.7128880427
291,7.853981634,1.4834125E-006,2.0297793095
292,7.853981634,0.000001483,2.0114971594
293,7.853981634,1.4819125E-006,1.9940448576
294,7.853981634,1.4824625E-006,1.9811630986
295,7.853981634,1.481925E-006,1.9623125327
296,7.853981634,0.000000682,1.6187979985
297,7.853981634,6.837E-007,1.6074301594
298,7.853981634,6.819E-007,1.6043408124
299,7.853981634,6.836375E-007,1.6090398786
300,7.853981634,6.817625E-007,1.5914633028
301,7.853981634,8.00475E-007,2.366095131
302,7.853981634,8.051375E-007,2.3710235829
303,7.853981634,8.00275E-007,2.3554403174
304,7.853981634,0.000000805,2.3726339653
305,7.853981634,8.000875E-007,2.3559923133
306,7.853981634,2.45535E-007,4.7854684668
307,7.853981634,0.000000246,4.8171221252
308,7.853981634,2.4544875E-007,4.787150067
309,7.853981634,2.4584E-007,4.7795314025
310,7.853981634,2.454125E-007,4.7430346865
311,7.853981634,1.272875E-007,11.6272218403
312,7.853981634,1.269095E-007,11.7248905716
313,7.853981634,1.2723875E-007,11.6631136348
314,7.853981634,1.26866625E-007,11.7524999187
315,7.853981634,1.27262625E-007,11.6844988857
316,7.853981634,9.27375E-007,1.3047580536
317,7.853981634,9.26125E-007,1.129437171
318,7.853981634,9.241625E-007,0.9662802808
319,7.853981634,9.234625E-007,0.8262382067
320,7.853981634,9.223125E-007,0.7426983804
321,7.853981634,9.275625E-007,1.3141971565
322,7.853981634,9.26425E-007,1.1387861942
323,7.853981634,9.246875E-007,0.9765461304
324,7.853981634,9.236875E-007,0.8368631166
325,7.853981634,9.2285E-007,0.7531018042
326,7.853981634,3.8855E-006,1.1452837473
327,7.853981634,3.8845E-006,1.1378555799
328,7.853981634,3.8845E-006,1.1301325782
329,7.853981634,3.884125E-006,1.1225179416
330,7.853981634,3.8845E-006,1.1172609087
331,7.853981634,3.57475E-006,0.7525001748
332,7.853981634,3.57425E-006,0.7470098622
333,7.853981634,3.57475E-006,0.7441079796
334,7.853981634,3.57425E-006,0.7414142827
335,7.853981634,3.573875E-006,0.7386939946
336,7.853981634,1.3075375E-006,1.5808342017
337,7.853981634,1.3068E-006,1.5572390572
338,7.853981634,0.000001307,1.5317960538
339,7.853981634,1.30675E-006,1.4999043428
340,7.853981634,1.3061E-006,1.4761503713
341,7.853981634,1.004375E-006,0.7875544493
342,7.853981634,9.630625E-007,0.8628723473
343,7.853981634,1.00355E-006,0.8589507249
344,7.853981634,9.62425E-007,0.9247473829
345,7.853981634,1.0030875E-006,0.917168243
346,7.853981634,1.90725E-006,0.9437672041
347,7.853981634,1.90675E-006,0.9125475285
348,7.853981634,1.906625E-006,0.8863830066
349,7.853981634,1.906375E-006,0.8602714576
350,7.853981634,1.905375E-006,0.839729712
351,7.853981634,0.000000952,0.8382573072
352,7.853981634,9.508E-007,0.7351703828
353,7.853981634,9.502125E-007,0.6651143823
354,7.853981634,9.493625E-007,0.6298963778
355,7.853981634,0.000000949,0.6174920969
356,7.853981634,9.539E-007,0.8344690219
357,7.853981634,9.526E-007,0.7327314718
358,7.853981634,9.520625E-007,0.6627716143
359,7.853981634,9.515125E-007,0.6274221306
360,7.853981634,9.50925E-007,0.6141388648
361,7.853981634,1.901875E-006,1.009530069
362,7.853981634,1.9015E-006,0.988693137
363,7.853981634,1.900875E-006,0.9627145394
364,7.853981634,1.900625E-006,0.9365340349
365,7.853981634,1.90025E-006,0.9156689909
366,7.853981634,9.49425E-007,0.916344103
367,7.853981634,9.48125E-007,0.7825972314
368,7.853981634,9.472625E-007,0.7125796704
369,7.853981634,9.462375E-007,0.6668516097
370,7.853981634,9.4585E-007,0.6428080562
371,7.853981634,9.512625E-007,0.9135228184
372,7.853981634,9.50075E-007,0.7788858774
373,7.853981634,9.491625E-007,0.7090461328
374,7.853981634,0.000000949,0.6628116809
375,7.853981634,9.480625E-007,0.6391983651
376,7.853981634,1.1425125E-006,0.7387227711
377,7.853981634,1.1425375E-006,0.7185759767
378,7.853981634,1.141925E-006,0.6996956893
379,7.853981634,1.1414E-006,0.6807429473
380,7.853981634,1.14175E-006,0.6700240858
381,7.853981634,1.6387175E-007,8.6897222981
382,7.853981634,1.653475E-007,8.7331226659
383,7.853981634,0.000000164,8.6830724296
384,7.853981634,1.65296875E-007,8.6692504017
385,7.853981634,1.63931625E-007,8.6194472848
386,7.853981634,0.000001167,0.9126061762
387,7.853981634,1.166525E-006,0.8666766679
388,7.853981634,1.1655625E-006,0.8210627916
389,7.853981634,1.1657625E-006,0.7831783918
390,7.853981634,1.1649E-006,0.7554296506
391,7.853981634,4.1355E-006,1.419417241
392,7.853981634,4.134125E-006,1.3763492879
393,7.853981634,4.13325E-006,1.3379302002
394,7.853981634,4.13175E-006,1.302111696
395,7.853981634,4.130625E-006,1.2758359812
396,7.853981634,2.112125E-007,0.6060247381
397,7.853981634,2.112E-007,0.6013257576
398,7.853981634,2.111875E-007,0.6013613495
399,7.853981634,2.11175E-007,0.6013969457
400,7.853981634,2.112E-007,0.5965909091
401,7.853981634,3.707375E-006,0.9737347854
402,7.853981634,3.7055E-006,0.9526379706
403,7.853981634,3.704875E-006,0.9339046527
404,7.853981634,3.70325E-006,0.9181124688
405,7.853981634,3.702125E-006,0.9021845562
406,7.853981634,2.121E-007,0.645921735
407,7.853981634,2.12075E-007,0.6365672522
408,7.853981634,0.000000212,0.6320009433
409,7.853981634,2.1205E-007,0.6272105635
410,7.853981634,0.000000212,0.6273584906
411,7.853981634,1.073089625E-006,5.3630189557
412,7.853981634,1.06964875E-006,5.0072512121
413,7.853981634,0.000001067,4.6243890552
414,7.853981634,1.0641675E-006,4.1803569457
415,7.853981634,1.0618125E-006,3.8179998823
416,7.853981634,3.3865E-007,1.4026280821
417,7.853981634,0.000000338,1.0621301775
418,7.853981634,3.373875E-007,0.8595457745
419,7.853981634,0.000000337,0.6885039136
420,7.853981634,3.367E-007,0.6504306504
421,7.853981634,0.000001068,5.2067155489
422,7.853981634,1.06490125E-006,4.8132162489
423,7.853981634,1.06221875E-006,4.4002235886
424,7.853981634,1.05955E-006,4.0205747723
425,7.853981634,1.0567375E-006,3.7152083654
426,7.853981634,3.3815E-007,1.3485139731
427,7.853981634,3.374375E-007,1.0609372106
428,7.853981634,3.368875E-007,0.8578531409
429,7.853981634,3.364625E-007,0.7281643571
430,7.853981634,3.362125E-007,0.6751682344
431,7.853981634,7.154175E-007,4.9257950777
432,7.853981634,7.1338125E-007,4.5341814072
433,7.853981634,7.1142125E-007,4.1099418945
434,7.853981634,7.09325E-007,3.6541782681
435,7.853981634,7.072625E-007,3.1798660328
436,7.853981634,0.000000346,1.6851537378
437,7.853981634,3.451E-007,1.2662996233
438,7.853981634,3.443875E-007,1.0075859315
439,7.853981634,3.438125E-007,0.8143973823
440,7.853981634,3.435625E-007,0.753865745
441,7.853981634,7.128135E-007,4.7983378542
442,7.853981634,7.1083875E-007,4.4312440761
443,7.853981634,0.000000709,4.0453479556
444,7.853981634,7.07325E-007,3.6263386703
445,7.853981634,7.050625E-007,3.1685134297
446,7.853981634,3.44125E-007,1.5924446059
447,7.853981634,3.43275E-007,1.2351613138
448,7.853981634,3.425875E-007,1.0070419966
449,7.853981634,3.4205E-007,0.8595234615
450,7.853981634,3.416875E-007,0.7931223706
451,7.853981634,3.536625E-007,3.1781712791
452,7.853981634,3.524E-007,2.6475595914
453,7.853981634,3.51275E-007,2.2489502527
454,7.853981634,3.504E-007,1.8978310502
455,7.853981634,3.497375E-007,1.7270095429
456,7.853981634,3.536875E-007,3.1807739883
457,7.853981634,3.52325E-007,2.6793443554
458,7.853981634,3.5115E-007,2.2554463904
459,7.853981634,3.50325E-007,1.9039463355
460,7.853981634,3.495875E-007,1.7277505632
461,7.853981634,3.525875E-007,3.1651717659
462,7.853981634,3.513E-007,2.7127810988
463,7.853981634,3.502E-007,2.2986864649
464,7.853981634,3.493625E-007,1.980750653
465,7.853981634,3.48575E-007,1.7930144158
466,7.853981634,3.5245E-007,3.1692438644
467,7.853981634,3.511875E-007,2.7136501157
468,7.853981634,3.501E-007,2.3050556984
469,7.853981634,3.491375E-007,1.9877555404
470,7.853981634,3.484E-007,1.7939150402
471,7.853981634,0.0001194361,4.946577093
472,7.853981634,0.0001192572,4.8173202157
473,7.853981634,0.0001191107,4.7115853051
474,7.853981634,0.000118923,4.5954104757
475,7.853981634,0.000118768,4.4742691634
476,7.853981634,1.7455E-006,0.979661988
477,7.853981634,1.744625E-006,0.9342982016
478,7.853981634,1.743875E-006,0.8945595298
479,7.853981634,0.000001743,0.8663224326
480,7.853981634,1.741875E-006,0.8439181916
481,7.853981634,0.000004215,0.8161328588
482,7.853981634,4.2145E-006,0.8138569225
483,7.853981634,4.214375E-006,0.8067625686
484,7.853981634,4.214375E-006,0.8043897375
485,7.853981634,4.213875E-006,0.7997389576
486,7.853981634,2.050125E-006,0.5755746601
487,7.853981634,2.048875E-006,0.5515221768
488,7.853981634,2.047625E-006,0.5323240339
489,7.853981634,2.047125E-006,0.5324540514
490,7.853981634,2.0475E-006,0.5225885226
491,7.853981634,2.163875E-006,1.0166945873
492,7.853981634,2.16375E-006,0.9982668977
493,7.853981634,2.1635E-006,0.9798936908
494,7.853981634,2.162875E-006,0.9663064209
495,7.853981634,2.16225E-006,0.9527112961
496,7.853981634,6.692125E-007,0.6813979117
497,7.853981634,6.691125E-007,0.6695436119
498,7.853981634,6.688625E-007,0.6578332617
499,7.853981634,6.68775E-007,0.6459571605
500,7.853981634,6.6855E-007,0.6357041358
501,7.853981634,3.214625E-006,1.222537621
502,7.853981634,3.214875E-006,1.2162214705
503,7.853981634,0.000003215,1.2130637636
504,7.853981634,3.21475E-006,1.203826114
505,7.853981634,3.2145E-006,1.200808835
506,7.853981634,6.671875E-007,0.7299297424
507,7.853981634,0.000000667,0.7151692342
508,7.853981634,6.668375E-007,0.7003205429
509,7.853981634,6.6665E-007,0.6885172129
510,7.853981634,6.665E-007,0.6736684171
511,7.853981634,2.90675E-006,0.736217425
512,7.853981634,2.90725E-006,0.7360908075
513,7.853981634,2.90675E-006,0.7327771566
514,7.853981634,0.000002907,0.7327141383
515,7.853981634,2.90625E-006,0.7294623656
